https://is42-2018.susu.ru/blog/2019/04/29/pygame-shpargalka-dlya-ispolzovaniya/

Модуль	        Назначение

pygame.cdrom	Доступ к CD-приводам и управление ими
pygame.cursors	Загружает изображения курсора
pygame.display	Доступ к дисплею
pygame.draw	    Рисует фигуры, линии и точки
pygame.event	Управление внешними событиями
pygame.font	    Использует системные шрифты
pygame.image	Загружает и сохраняет изображение
pygame.joystick	Использует джойстики и аналогичные устройства
pygame.key	    Считывает нажатия клавиш с клавиатуры
pygame.mixer	Загружает и воспроизводит мелодии
pygame.mouse	Управляет мышью
pygame.movie	Воспроизведение видеофайлов
pygame.music	Работает с музыкой и потоковым аудио
pygame.overlay	Доступ к расширенным видеоизображениям
pygame	        Содержит функции Pygame высокого уровня
pygame.rect	    Управляет прямоугольными областями
pygame.sndarray	Манипулирует звуковыми данными
pygame.sprite	Управление движущимися изображениями
pygame.surface	Управляет изображениями и экраном
pygame.surfarray	Манипулирует данными пикселей изображения
pygame.time	    модуль pygame для управления временем и частотой кадров
pygame.transform	Изменение размера и перемещение изображений
